name,energy,fat,carbohydrates,sugar,fibers,protein,salt
Chocolate_meringues,444,9.9,83.5,82.4,2.2,4.2,0.1
Chocolate_meringues_with_chocolate_base,486,19.4,71.5,70.2,2,5.2,0.3
Chocolate_powder,398,7.8,71.3,70.6,10.5,5.3,0
Chocolate_ring_cake,380,18.4,46.3,22.9,1.9,6.4,0.1
Chocolate_sauce,122,3,20,18.7,0.5,3.6,0.2
Chocolate_dark,537,31.8,53.4,50,7,5.7,0
Chocolate_white,567,35.2,55.8,55.3,0.2,6.7,0.3
chop_(average_of_veal_pork_lamb)_pan_fried_(without_addition_of_fat_and_salt),223,12,0,0,0,28.8,0.1
Chop_(average_of_veal_pork_lamb)_raw,177,10.2,0,0,0,21.3,0.1
Chräbeli_(aniseed_cookie),366,2.9,75.3,40.5,2,8.6,0.2
Cider_4_vol%,32,0,2.5,2.5,0,0,0
Cider_6.2_vol%,64,0,7.3,7.3,0,0,0
Cinnamon,317,3.2,56,55.4,24.4,3.9,0.1
Cinnamon_cookie_star-shaped,505,25.9,50.9,50.3,5.6,14.2,0.1
Ci  us_fruits_(average)_raw,41,0.3,8,7.4,2.1,0.8,0
Cocktail_sauce_with_rapeseed_mayonnaise_home-made,696,74.5,3.8,3.7,0.2,2.4,0.7
Coco_macaroon,549,38.9,35.1,35.1,15.7,6.9,0.2
Cocoa_powder,419,24.5,10.8,2.2,32.7,22.5,0
Coconut,384,36.5,4.8,4.8,9,4.6,0.1
Coconut_drink_plain,22,1,2.8,1.9,0.1,0.4,0.1
Coconut_drink_plain_with_calcium_and_vitamin_fortified,22,1,2.8,1.9,0.1,0.4,0.1
Coconut_fat,894,99,0,0,0,0.8,0
Coconut_milk,214,21.3,3.1,1.7,0.1,2.4,0
Coconut_dried_(coco_flakes),653,61.3,5.3,5.3,24.7,7.6,0
Cod_filet_steamed_(without_addition_of_fat_and_salt),72,0.5,0,0,0,17,0.1
Cod_raw,76,0.4,0,0,0,18.1,0.1
Coffee_cream_UHT,161,15,3.8,3.8,0,2.6,0.2
Coffee_with_coffee_cream_no_sugar_added,13,1.1,0.5,0.3,0.1,0.3,0
Coffee_black_no_sugar_added,2,0,0.3,0,0.1,0.1,0
Coffee_instant_powder,253,  .,42.6,3.6,19.1,11.2,0.1
Cola_beverage_sweetened,40,0,10,10,0,0,0
Cola_beverage_with_sweetener,0,  .,0,0,0,0,0
Cold_cuts_(average),276,24.2,0.7,0.7,0,13.9,2
Coleslaw_salad_prepared,124,10.6,4.5,4,2.4,1.6,0.2
Common_bean_(all_types)_mature_seed_cooked_(without_addition_of_fat_and_salt),111,0.6,14.5,0.4,8.5,7.7,0
Common_bean_(all_types)_mature_seed_dried,305,1.5,40.7,1.2,22.6,20.9,0
Condensed_milk_sweetened,339,10,54.3,54.3,0,8,0.3
Condensed_milk_unsweetened,131,7.6,9.3,9.3,0,6.4,0.2
Cooked_cured_meat_(average),223,15.6,0.7,0.7,0,19.8,2.8
Cooked_sausages_(average),278,23.5,1.1,1,0.1,15.4,2.6
Cooked_sausages_not_smoked_(average),251,21.6,0.8,0.8,0,13.4,2
Cooked_smoked_sausages_(average),249,21.2,0.5,0.5,0,14,2.2
Cooking_butter,745,82.2,0.7,0.6,0,0.5,0
Coppa_(cured_pork_meat),319,22.5,0.3,0.3,0,28.8,3.8
Cordon_bleu_from_pork_schnitzel_fried,241,11.7,10.3,0.6,0.6,23.2,0.9
Cordon_bleu_from_veal_schnitzel_fried,233,11,10.3,0.6,0.6,22.9,0.9
Corn_germ_oil,810,90,0,0,0,0,0
Corn_semolina_cooked,79,0.2,16.7,0.3,1.1,2,0.6
Corn_semolina_dried,350,1.1,73.8,1.5,5,8.8,0
Cornflakes,363,0.6,79.7,7.2,4,7.7,1.7
Cotechino_(pork_sausage),450,42.3,0,0,0,17.2,4.4
Cottage_cheese,100,4.5,2.4,2.2,0,12.4,0.8
Cotto_(meat_product),93,3.1,0.6,0.6,0,15.7,2.3
Cow_milk_skimmed_UHT,33,0.1,4.7,4.7,0,3.3,0.1
Cracker_salty_snacks,449,15.9,66.3,0,2.1,9.2,1.5
Cranberry_fresh,36,0.5,6.2,6.1,2.9,0.3,0
Cream_(average),252,25.4,3.4,3.4,0,2.3,0.1
Cream_cheese_min._60%_fidm,351,32.1,4.5,2.3,0,11.1,1.3
Cream_slice,301,18.8,28.8,21.3,0.3,4.1,0.3
Cream_35%_fat_pasteurized,334,34.8,3.1,3.1,0,2,0.1
Cream_35%_fat_UHT,335,34.9,3.1,3.1,0,2,0.1
Cream_at_least_45_%_milk_fat_pasteurized,468,50,2.7,2.7,0,1.9,0.1
Cream_pasteurized_25%_fat,274,27.9,3.3,3.3,0,2.3,0.1
Cream_UHT,251,25.1,3.7,3.7,0,2.5,0.1
Crispbread_wholemeal,332,1.7,61.1,3.3,12.4,12,1.5
Crispbread_wholemeal_with_linseeds,352,5.7,55.2,3.1,13.8,12.9,1.5
Crispbread_wholemeal_with_sesame,360,6.9,55.3,3.1,12.4,13.1,1.5
Croissant_(average),400,22,41.1,2.7,3.4,7.8,1.2
Croissant_filled_with_nuts_puff_pas  y,419,26.9,36.2,15.8,2.7,6.8,0.5
Croissant_filled_with_nuts_yeast_dough,318,12.6,41.9,18.4,2.7,7.7,0.7
Croissant_pretzel_(with_iodized_salt),423,25,39.4,1.3,1.9,9.1,4.1
Croque_Monsieur_Hot_Sandwich_with_cheese_and_ham,260,9.4,26.6,2.6,1.8,16.4,2.3
Cucumber_pickled,14,0.1,2.1,1.9,1,0.7,1.8
Cucumber_raw,14,0.1,2,1.9,0.8,0.7,0
Curd_cheese_puff_pas  y_(with_butter)_raw,401,28.3,29,1.3,1.3,7.1,0.8
Curd_cheese_puff_pas  y_(with_vegetable_fat)_raw,388,26.9,28.8,1.2,1.3,7.1,0.9
Curd_with_fruits_with_sugar,112,2.4,14.1,13.4,0.1,8.4,0.1
Curds_min._40%_fidm,183,15.6,3.7,3.2,0,6.9,0.1
Curds_with_at_most_10%_fidm,61,0.2,4.2,3.5,0,10.6,0.1
Curds_plain_half_fat,99,5,4.1,3.4,0,9.4,0.1
Currant_black_raw,71,0.9,9.7,9.7,5.8,1.3,0
Currant_red_raw,50,0.7,7.1,6.6,4.6,1.6,0
Date_dried,289,0.6,64.7,64.7,7.5,2.4,0
Deer_(average)_raw,112,3.3,0,0,0,20.6,0.2
Deer_en  ecôte_raw,111,2.1,0,0,0,23.1,0.1
Dough_for_french_pizza_from_Alsace,221,2.9,39.9,0.6,2.7,7.5,1.3
Dried_meat_(Hobel-_Bündner-_Walliser-_Tessiner-_dried_meat),190,3.5,0.4,0.4,0,39.3,4.1
Drinking_water_(average_Switzerland),0,0,0,0,0,0,0
Dulce_de_Leche,299,7.3,52.6,52.6,0,5.7,0.2
Durum_wheat_semolina,353,1.4,71.4,1,3.4,12,0
Edible_boletus_fresh,39,0.4,0.5,0.1,6,5.4,0
Edible_boletus_stewed_(without_addition_of_fat_and_salt),46,0.5,0.6,0.1,7.3,6.1,0
Egg_liqueur_16.5_vol%,313,7.7,30.8,30.8,0,4.4,0
Egg_white_raw,45,0,0.4,0.4,0,10.8,0.5
Egg_yolk_raw,349,31.3,0.3,0.2,0,16.4,0.1
Egg_raw,140,9.8,0.3,0.3,0,12.6,0.4
Eggplant_piccata_prepared,138,8.3,8.9,2.3,2.7,5.6,0.2
Eggplant_slices_breaded_prepared,136,5.8,14.6,2.7,3.1,4.7,0.2
Eggplant_raw,21,0.1,2.4,2.4,2.7,1.1,0
Eggplant_steamed_(without_addition_of_salt),21,0.1,2.4,2.4,2.7,1.1,0
Eggplant_stewed_(without_addition_of_fat_and_salt),24,0.2,2.8,2.8,3.2,1.3,0
Elderberry_raw,63,1.7,7.4,7.4,4,2.5,0
Emmentaler_cheese_at_least_45%_fidm,408,32.6,0,0,0,28.4,0.4
Endive_raw,16,0.2,1.2,1.2,1.2,1.8,0.1
Energy_drink_with_sugar,44,0,10.9,10.8,0,0,0.2
